playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamName,team.teamAbbr,team.teamNickname,team.twitterHashTag,team.teamId,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000044,0.0,Jez,McLennan,20,185,85,43,RIGHT,SA,2018,,Tanunda (SA)/Central District (SANFL),23.0,nationalDraft,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000044.png?i10c=img.resize(scale_height:0.6),07/09/2000,Gold Coast Suns,GCFC,Suns,,CD_T1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000061,0.0,Callum,Coleman-Jones,21,200,105,40,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL),20.0,nationalDraft,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000061.png?i10c=img.resize(scale_height:0.6),13/06/1999,Richmond,RICH,Tigers,,CD_T120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000068,3.0,Chris,Burgess,25,191,94,29,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL),,other,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000068.png?i10c=img.resize(scale_height:0.6),26/11/1995,Gold Coast Suns,GCFC,Suns,,CD_T1000,3.0,80.6,1.0,0.0,0.0,3.0,1.0,20.0,5.0,4.0,83.3,20.0,4.0,3.0,75.0,17.0,60.0,25.0,158.0,15.0,8.0,4.0,1.0,4.0,60.0,1.0,3.0,11.0,9.0,15.0,5.0,33.3,14.7,3.0,0.0,4.0,50.0,16.0,1.8,7.0,5.0,2.0,380.0,9.0,32.0,448.0,93.5,1.0,102.0,8.0,2.0,5.0,9.0,5.0,9.0,3.0,5.0,24.0,5.0,4.0,3.0,80.6,0.3,0.0,0.0,1.0,0.3,20.0,1.7,1.3,83.3,6.7,1.3,1.0,75.0,5.7,60.0,8.3,52.7,5.0,2.7,1.3,0.3,1.3,60.0,0.3,1.0,3.7,3.0,5.0,1.7,33.3,14.7,1.0,0.0,1.3,50.0,5.3,1.8,2.3,1.7,0.7,126.8,3.0,10.7,93.5,0.3,34.0,2.7,0.7,1.7,3.0,1.7,3.0,1.0,1.7,8.0,1.7,1.3
CD_I1000072,5.0,John,Noble,24,180,73,9,RIGHT,SA,2018,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000072.png?i10c=img.resize(scale_height:0.6),25/03/1997,Collingwood,COLL,Magpies,,CD_T40,5.0,84.4,0.0,0.0,0.0,9.0,2.0,100.0,2.0,1.0,30.4,28.0,0.0,0.0,0.0,42.0,81.9,94.0,374.0,77.0,48.0,0.0,1.0,6.0,0.0,0.0,0.0,22.0,32.0,0.0,0.0,0.0,0.0,8.0,2.0,23.0,77.4,62.0,1.9,27.0,0.0,2.0,1233.0,1.0,67.0,393.0,136.1,18.0,0.0,12.0,3.0,0.0,1.0,6.0,10.0,0.0,6.0,92.0,7.0,64.0,5.0,84.4,0.0,0.0,0.0,1.8,0.4,100.0,0.4,0.2,30.4,5.6,0.0,0.0,0.0,8.4,81.9,18.8,74.8,15.4,9.6,0.0,0.2,1.2,0.0,0.0,0.0,4.4,6.4,0.0,0.0,0.0,0.0,1.6,0.4,4.6,77.4,12.4,1.9,5.4,0.0,0.4,246.7,0.2,13.4,136.1,3.6,0.0,2.4,0.6,0.0,0.2,1.2,2.0,0.0,1.2,18.4,1.4,12.8
CD_I1000223,5.0,Liam,Baker,23,173,72,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000223.png?i10c=img.resize(scale_height:0.6),27/01/1998,Richmond,RICH,Tigers,,CD_T120,5.0,83.2,1.0,1.0,1.0,19.0,1.0,100.0,1.0,1.0,33.3,32.0,0.0,0.0,0.0,48.0,71.9,96.0,301.0,69.0,25.0,0.0,7.0,3.0,0.0,2.0,0.0,29.0,58.0,0.0,0.0,0.0,0.0,8.0,4.0,31.0,65.8,38.0,0.7,16.0,0.0,0.0,1136.0,13.0,67.0,186.0,271.8,9.0,0.0,14.0,4.0,1.0,11.0,0.0,10.0,1.0,1.0,96.0,14.0,64.0,5.0,83.2,0.2,0.2,0.2,3.8,0.2,100.0,0.2,0.2,33.3,6.4,0.0,0.0,0.0,9.6,71.9,19.2,60.2,13.8,5.0,0.0,1.4,0.6,0.0,0.4,0.0,5.8,11.6,0.0,0.0,0.0,0.0,1.6,0.8,6.2,65.8,7.6,0.7,3.2,0.0,0.0,227.4,2.6,13.4,271.8,1.8,0.0,2.8,0.8,0.2,2.2,0.0,2.0,0.2,0.2,19.2,2.8,12.8
CD_I1000860,4.0,Lachie,Schultz,23,178,82,28,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL),57.0,nationalDraft,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000860.png?i10c=img.resize(scale_height:0.6),30/11/1997,Fremantle,FRE,Dockers,,CD_T60,4.0,71.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,44.2,19.0,4.0,0.0,0.0,12.0,75.6,45.0,267.0,34.0,26.0,3.0,3.0,7.0,66.7,2.0,6.0,11.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,76.5,34.0,3.1,17.0,5.0,10.0,857.0,3.0,64.0,411.0,122.4,1.0,0.0,20.0,3.0,9.0,2.0,1.0,14.0,3.0,1.0,43.0,9.0,24.0,4.0,71.0,0.5,0.0,0.0,2.3,0.0,0.0,0.0,0.3,44.2,4.8,1.0,0.0,0.0,3.0,75.6,11.3,66.8,8.5,6.5,0.8,0.8,1.8,66.7,0.5,1.5,2.8,2.8,0.0,0.0,0.0,0.0,3.0,0.0,2.3,76.5,8.5,3.1,4.3,1.3,2.5,214.3,0.8,16.0,122.4,0.3,0.0,5.0,0.8,2.3,0.5,0.3,3.5,0.8,0.3,10.8,2.3,6.0
CD_I1000864,0.0,Lachlan,Bramble,23,181,76,16,RIGHT,VIC,2020,,Williamstown (VFL),,preseason,MIDFIELDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000864.png?i10c=img.resize(scale_height:0.6),19/04/1998,Hawthorn,HAW,Hawks,,CD_T80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000887,2.0,Mitch,Lewis,22,198,100,2,RIGHT,VIC,2016,2018,Wallan (Vic)/Whittlesea (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000887.png?i10c=img.resize(scale_height:0.6),14/10/1998,Hawthorn,HAW,Hawks,,CD_T80,2.0,93.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,60.0,15.0,13.0,7.0,53.8,2.0,68.0,25.0,140.0,17.0,10.0,3.0,0.0,4.0,42.9,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,58.8,17.0,2.1,11.0,2.0,2.0,358.0,1.0,25.0,408.0,125.5,0.0,0.0,13.0,0.0,7.0,0.0,0.0,4.0,2.0,0.0,25.0,1.0,10.0,2.0,93.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,60.0,7.5,6.5,3.5,53.8,1.0,68.0,12.5,70.0,8.5,5.0,1.5,0.0,2.0,42.9,0.0,1.5,2.5,4.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,58.8,8.5,2.1,5.5,1.0,1.0,179.5,0.5,12.5,125.5,0.0,0.0,6.5,0.0,3.5,0.0,0.0,2.0,1.0,0.0,12.5,0.5,5.0
CD_I1000932,5.0,Tom,Doedee,24,187,89,39,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",17.0,nationalDraft,KEY_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000932.png?i10c=img.resize(scale_height:0.6),01/03/1997,Adelaide Crows,ADEL,Crows,,CD_T10,5.0,92.9,0.0,2.0,0.0,12.0,8.0,42.1,19.0,8.0,42.9,36.0,0.0,0.0,0.0,46.0,77.8,90.0,354.0,70.0,37.0,0.0,5.0,6.0,0.0,0.0,0.0,22.0,38.0,0.0,0.0,0.0,0.0,8.0,15.0,43.0,71.2,52.0,1.4,25.0,0.0,0.0,1977.0,36.0,58.0,373.0,150.6,28.0,0.0,14.0,11.0,0.0,28.0,2.0,14.0,0.0,2.0,84.0,18.0,48.0,5.0,92.9,0.0,0.4,0.0,2.4,1.6,42.1,3.8,1.6,42.9,7.2,0.0,0.0,0.0,9.2,77.8,18.0,70.8,14.0,7.4,0.0,1.0,1.2,0.0,0.0,0.0,4.4,7.6,0.0,0.0,0.0,0.0,1.6,3.0,8.6,71.2,10.4,1.4,5.0,0.0,0.0,395.6,7.2,11.6,150.6,5.6,0.0,2.8,2.2,0.0,5.6,0.4,2.8,0.0,0.4,16.8,3.6,9.6
CD_I1000937,4.0,Jack,Henry,22,192,91,38,RIGHT,VIC,2016,2018,St Mary&apos;s Geelong (Vic)/Geelong U18,16.0,rookieElevation,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000937.png?i10c=img.resize(scale_height:0.6),29/08/1998,Geelong Cats,GEEL,Cats,,CD_T70,4.0,91.9,0.0,2.0,0.0,5.0,1.0,33.3,3.0,2.0,38.8,19.0,5.0,0.0,0.0,15.0,84.0,50.0,220.0,42.0,22.0,3.0,1.0,1.0,80.0,1.0,4.0,16.0,24.0,2.0,1.0,50.0,15.4,9.0,2.0,10.0,84.6,26.0,1.1,14.0,0.0,0.0,729.0,8.0,38.0,218.0,251.7,3.0,13.0,14.0,2.0,5.0,7.0,3.0,7.0,3.0,3.0,49.0,9.0,30.0,4.0,91.9,0.0,0.5,0.0,1.3,0.3,33.3,0.8,0.5,38.8,4.8,1.3,0.0,0.0,3.8,84.0,12.5,55.0,10.5,5.5,0.8,0.3,0.3,80.0,0.3,1.0,4.0,6.0,0.5,0.3,50.0,15.4,2.3,0.5,2.5,84.6,6.5,1.1,3.5,0.0,0.0,182.4,2.0,9.5,251.7,0.8,3.3,3.5,0.5,1.3,1.8,0.8,1.8,0.8,0.8,12.3,2.3,7.5
