title,link,current_price,original_price,discount_percentage,ratings,reviews
WeCool Moonwalk M2 in Ear True Wireless Earbuds with Smart Touch Control and High Bass HD Sound Quality IPX5 TWS Bluetooth Earphones with Digital Display (Black),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01365873CR6T1TPRIKMS&url=%2FMoonwalk-M2-Wireless-Bluetooth-Earphones%2Fdp%2FB08K2XYM29%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036821%26sr%3D8-1-spons%26psc%3D1&qualifier=1620036821&id=1590961016309457&widgetName=sp_atf,999.0,2999.0,66.68889629876625,3.4,5103
"Noise Tune Charge Bluetooth Wireless Neckband Earphones with Bass Booster Button for Deep Bass and Stunning Audio Clarity, Ultra-Long Playback up to 16 Hours, IPX5 Sweat Proof [with Mic] (Jet Black)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07137301OUCS4TEACHAK&url=%2FNoise-Bluetooth-Wireless-Neckband-Earphones%2Fdp%2FB083ZTXYZ2%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036821%26sr%3D8-2-spons%26psc%3D1&qualifier=1620036821&id=1590961016309457&widgetName=sp_atf,1299.0,2499.0,48.019207683073226,4.1,7358
OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Black),https://www.amazon.in/OnePlus-Bullets-Wireless-Bluetooth-Earphones/dp/B086CSGV2N/ref=sr_1_3?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-3,1999.0,2190.0,8.721461187214611,4.3,106597
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic (Active Black),https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJXP4/ref=sr_1_4_mod_primary_new?dchild=1&keywords=earphones+wireless&qid=1620036821&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-4,899.0,2990.0,69.93311036789298,4.0,218099
"Infinity Glide 120 by Harman, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, Premium Metal Earbuds, Flex Neckband, Bluetooth 5.0 with Voice Assistant, IPX5 Sweatproof (Black & Yellow)",https://www.amazon.in/Infinity-Glide-120-Earphones-Sweatproof/dp/B082MDMW3X/ref=sr_1_5?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-5,1099.0,2999.0,63.354451483827944,3.9,22306
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Mysterious Blue),https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WMSCN3/ref=sr_1_6?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-6,1000.0,5999.0,83.33055509251543,3.9,13342
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black)",https://www.amazon.in/Tangent-Lite-Magnetic-Bluetooth-Headphones/dp/B085W8CFLH/ref=sr_1_7?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-7,499.0,1800.0,72.27777777777777,3.6,28019
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Voice Assistant & Mic - (Black & Yellow)",https://www.amazon.in/Tangent-Lite-Magnetic-Bluetooth-Headphones/dp/B085W7JMTB/ref=sr_1_8?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-8,499.0,1800.0,72.27777777777777,3.6,28019
"WeCool Moonwalk M1 True Wireless Earbuds (TWS) IPX 5 and Digital Display Charging Case, Bluetooth Earphones with Mic for Calls and HD Stereo Music",https://www.amazon.in/Moonwalk-M1-Wireless-Bluetooth-Earphones/dp/B08BY1G7N3/ref=sr_1_9?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-9,799.0,2499.0,68.02721088435374,3.6,11769
OnePlus Bullets Wireless Z Bass Edition (Reverb Red),https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Reverb/dp/B08HLTFB33/ref=sr_1_10?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-10,1799.0,2190.0,17.853881278538815,4.3,106597
