candidate,party,votes,constituency
GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,126452,Tamil Nadu-Gummidipoondi
DILLIY K.M,Desiya Murpokku Dravida Kazhagam,2576,Tamil Nadu-Gummidipoondi
NAGARAJ S,Bahujan Samaj Party,1038,Tamil Nadu-Gummidipoondi
USHA,Naam Tamilar Katchi,11701,Tamil Nadu-Gummidipoondi
GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,Tamil Nadu-Gummidipoondi
SARAVANAN V,Indiya Jananayaka Katchi,816,Tamil Nadu-Gummidipoondi
PRAKASH M,Pattali Makkal Katchi,75514,Tamil Nadu-Gummidipoondi
SARAVANAN E,Independent,532,Tamil Nadu-Gummidipoondi
DEVANATHAN R,Independent,482,Tamil Nadu-Gummidipoondi
PRAKASH K,Independent,351,Tamil Nadu-Gummidipoondi
PRAKASH M,Independent,196,Tamil Nadu-Gummidipoondi
LAKSHMI R,Independent,374,Tamil Nadu-Gummidipoondi
NOTA,None of the Above,1783,Tamil Nadu-Gummidipoondi
DURAI. CHANDRASEKAR,Indian National Congress,94528,Tamil Nadu-Ponneri
BALARAMAN. P,All India Anna Dravida Munnetra Kazhagam,84839,Tamil Nadu-Ponneri
BHAVANI ILAVENIL. J,Bahujan Samaj Party,1106,Tamil Nadu-Ponneri
DESINGURAJAN. D,Makkal Needhi Maiam,5394,Tamil Nadu-Ponneri
MAHESWARI. A,Naam Tamilar Katchi,19027,Tamil Nadu-Ponneri
PON. RAJA,Amma Makkal Munnettra Kazagam,2832,Tamil Nadu-Ponneri
VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,Tamil Nadu-Ponneri
ASHOK PRIYADARSHAN. S,Independent,470,Tamil Nadu-Ponneri
SAMBATH KUMAR.C.H,Independent,116,Tamil Nadu-Ponneri
SUGUMAR. K,Independent,298,Tamil Nadu-Ponneri
NOTA,None of the Above,1554,Tamil Nadu-Ponneri
G.Hari,All India Anna Dravida Munnetra Kazhagam,91061,Tamil Nadu-Tiruttani
D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,3928,Tamil Nadu-Tiruttani
S.Chandran,Dravida Munnetra Kazhagam,120314,Tamil Nadu-Tiruttani
N.MAGENDIRAN,Bahujan Samaj Party,717,Tamil Nadu-Tiruttani
L.AKILA,Naam Tamilar Katchi,12007,Tamil Nadu-Tiruttani
M.D.Thanigai Malai,Indiya Jananayaka Katchi,353,Tamil Nadu-Tiruttani
Manikkam,All India Jananayaka Makkal Kazhagam,121,Tamil Nadu-Tiruttani
M.Hari,Independent,366,Tamil Nadu-Tiruttani
Chandran,Independent,60,Tamil Nadu-Tiruttani
Chandran,Independent,46,Tamil Nadu-Tiruttani
A.J.Suresh,Independent,182,Tamil Nadu-Tiruttani
Shettu,Independent,147,Tamil Nadu-Tiruttani
D.PAULRAJ,Independent,889,Tamil Nadu-Tiruttani
V.P.Vijayan,Independent,768,Tamil Nadu-Tiruttani
NOTA,None of the Above,1665,Tamil Nadu-Tiruttani
"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,107709,Tamil Nadu-Thiruvallur
"DOSS, D.",Bahujan Samaj Party,2329,Tamil Nadu-Thiruvallur
"RAMANAH, BE VEE",All India Anna Dravida Munnetra Kazhagam,85008,Tamil Nadu-Thiruvallur
"GURU, N.",Amma Makkal Munnettra Kazagam,1077,Tamil Nadu-Thiruvallur
"PASUPATHY, P.",Naam Tamilar Katchi,15028,Tamil Nadu-Thiruvallur
"KUMAR, E.",Independent,133,Tamil Nadu-Thiruvallur
"SASIKUMAR, J.",Independent,87,Tamil Nadu-Thiruvallur
"BALA KRISHNAN, N.",Independent,232,Tamil Nadu-Thiruvallur
"RAMANAN, R.",Independent,97,Tamil Nadu-Thiruvallur
"RAJENDIRAN, G.",Independent,388,Tamil Nadu-Thiruvallur
"REVATHI, R.",Independent,283,Tamil Nadu-Thiruvallur
NOTA,None of the Above,1872,Tamil Nadu-Thiruvallur
Krishnaswamy A,Dravida Munnetra Kazhagam,149578,Tamil Nadu-Poonamallee
Sathyamurthy A C,Bahujan Samaj Party,2891,Tamil Nadu-Poonamallee
Rajamannar S X,Pattali Makkal Katchi,55468,Tamil Nadu-Poonamallee
Elumalai T.A.,Amma Makkal Munnettra Kazagam,8805,Tamil Nadu-Poonamallee
Boshya Gayathri M,My India Party,290,Tamil Nadu-Poonamallee
Manimekalai A,Naam Tamilar Katchi,29871,Tamil Nadu-Poonamallee
Revathi Manimegalai J,Makkal Needhi Maiam,11927,Tamil Nadu-Poonamallee
Sivakumar S,Independent,403,Tamil Nadu-Poonamallee
Dhasarathan R,Independent,173,Tamil Nadu-Poonamallee
Purushothaman B,Independent,175,Tamil Nadu-Poonamallee
Ravikumar M,Independent,448,Tamil Nadu-Poonamallee
Rajesh P,Independent,241,Tamil Nadu-Poonamallee
