party,votes,percentage
Makkal Needhi Maiam,1210337,2.6406997433125445
Naam Tamilar Katchi,3030273,6.611415773678682
Amma Makkal Munnettra Kazagam,1085915,2.369237213899304
Anna MGR Dravida Makkal Kalgam,3157,0.006887907326337791
Independent,641870,1.400424794284586
None of the Above,343755,0.7500008181708101
All India Anna Dravida Munnetra Kazhagam,15306135,33.39475432512363
Desiya Murpokku Dravida Kazhagam,197580,0.43107783640729197
Dravida Munnetra Kazhagam,17303648,37.75290586999375
Bahujan Samaj Party,99182,0.21639417942376774
Indiya Jananayaka Katchi,38472,0.08393777974623615
All India Jananayaka Makkal Kazhagam,2337,0.005098840488327975
Pattali Makkal Katchi,1683260,3.6725178606687834
My India Party,11602,0.025313113969012056
Tamil Nadu Ilangyar Katchi,22953,0.05007859894248695
Tamilnadu Makkal Nalvazhvu Periyakkam,120,0.00026181465922094863
MGR Makkal Katchi,504,0.0010996215687279845
Nationalist Congress Party,3371,0.007354810135281817
Bahujan Dravida Party,1508,0.003290137550876588
Anaithu Makkal Arasiyal Katchi,3001,0.006547548269350558
Desiya Makkal Sakthi Katchi,4125,0.00899987891072011
Shiv Sena,1205,0.0026290555363436925
Naadaalum Makkal Katchi,1705,0.0037199499497643125
Samata Party,291,0.0006349005486108005
Makkal Nalvaazhvuk Katchi,104,0.00022690603799148883
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),855,0.0018654294469492591
Republican Party of India (Athawale),2510,0.00547628995537151
United States of India Party,1980,0.004319941877145653
New Generation People’s Party,5403,0.011788205031423213
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,7324,0.015979421367785233
Makkalatchi Katchi,255,0.000556356150844516
National Democratic Party of South India,1073,0.0023410594112006494
Thamizhaga Munnetra Congress,116,0.0002530875039135837
Nam India Naam Indiyar Katchi,375,0.0008181708100654647
Valamaana  Tamizhagam   Katchi,261,0.0005694468838055633
Republican Party of India  (Sivaraj),62,0.0001352709072641568
Lok Jan Shakti Party,970,0.002116335162036002
