ip_address,port
167.179.113.45,3128
208.80.28.208,8080
90.83.154.85,8080
219.92.3.149,8080
194.5.212.199,3128
91.245.255.37,3128
193.27.14.248,3128
95.174.65.214,3128
47.91.153.45,80
173.212.202.65,80
192.241.172.93,8080
154.16.63.16,3128
136.232.209.70,47423
51.83.193.208,80
75.119.144.28,80
5.253.113.203,12229
149.36.3.232,41002
89.45.4.142,3128
23.21.179.114,8080
202.61.51.204,3128
88.99.180.130,80
88.99.180.131,80
91.132.139.180,3128
192.109.165.42,80
67.43.234.114,3128
193.29.104.79,3128
31.192.107.162,3128
62.140.236.195,47649
51.158.178.209,8888
169.57.1.84,8123
144.202.39.68,3128
005.252.161.48,8080
187.130.139.197,8080
119.81.189.194,80
169.57.1.85,80
69.167.174.17,80
103.152.5.70,8080
188.166.178.119,3128
46.4.96.137,3128
80.48.119.28,8080
213.230.110.100,8080
192.109.165.95,80
88.198.50.103,8080
189.206.105.164,80
185.236.202.191,3128
138.68.60.8,8080
191.96.71.118,3128
159.203.61.169,8080
102.129.249.120,8080
161.35.70.249,3128
191.96.42.80,8080
128.199.202.122,3128
167.71.5.83,8080
198.199.86.11,3128
193.136.119.10,80
132.248.196.2,8080
49.176.191.138,80
14.97.15.97,80
91.132.139.178,3128
88.198.24.108,8080
43.129.20.96,80
185.236.202.178,3128
176.9.75.42,8080
78.47.16.54,80
176.9.119.170,8080
59.120.147.82,3128
165.22.81.30,37344
191.7.210.162,35820
109.254.47.147,3128
111.125.138.147,59805
194.8.85.146,3128
51.89.4.140,8118
161.35.4.201,80
142.44.148.56,8080
104.238.81.186,56227
41.162.186.2,48017
67.219.112.233,8181
150.129.148.88,35101
193.34.93.221,53805
84.54.82.173,3128
218.147.194.8,80
158.101.114.88,80
5.252.161.48,8080
185.195.106.226,23445
103.76.148.63,8080
185.12.69.174,8080
195.154.84.106,5566
178.128.221.74,8118
14.225.5.68,80
163.172.221.209,443
103.120.144.144,80
123.194.89.104,80
41.59.254.172,80
145.40.68.155,80
157.119.207.36,6666
23.251.138.105,8080
128.199.214.87,3128
157.90.4.18,8001
103.28.121.58,80
116.73.14.16,8080
198.50.163.192,3129
139.59.1.14,8080
139.162.78.109,8080
149.56.47.132,443
91.231.196.170,39830
168.119.137.56,3128
103.94.18.13,8088
78.186.98.244,9090
96.9.86.70,53827
125.141.117.22,80
191.101.39.80,80
49.0.41.81,38235
105.30.250.108,53281
91.218.244.153,8080
106.51.252.229,80
178.217.216.184,49086
51.15.0.12,3128
212.115.232.79,31280
49.12.74.188,11700
144.217.101.245,3129
125.141.117.42,80
103.154.241.252,8080
46.254.217.54,53281
89.250.149.114,60981
197.255.52.214,8081
84.42.4.170,8080
115.127.24.36,8800
167.71.236.109,3130
24.172.82.94,53281
210.8.81.246,8080
182.53.197.156,43060
92.255.248.230,45906
103.94.199.41,8080
125.99.191.107,80
201.204.46.10,39371
201.217.4.101,53281
157.230.242.34,8118
182.253.170.42,8080
183.88.226.50,8080
36.67.89.179,65205
5.189.133.231,80
173.249.5.7,8080
103.78.254.78,80
167.172.180.46,35301
192.162.193.243,36910
1.65.134.229,80
82.223.21.37,80
147.135.195.42,8020
191.101.39.103,80
192.109.165.153,80
115.243.184.76,23500
114.6.87.177,60811
191.101.39.48,80
192.109.165.202,80
192.109.165.97,80
192.109.165.115,80
192.109.165.79,80
165.227.11.196,80
191.101.39.217,80
192.109.165.170,80
157.230.103.91,33061
191.101.39.243,80
52.229.51.93,80
190.15.198.227,8080
52.34.3.199,3128
185.121.26.160,24399
218.147.194.27,80
95.79.55.196,53281
85.15.152.39,3128
157.90.4.41,8080
85.133.183.66,8080
77.68.125.33,80
154.16.202.22,8080
194.250.57.253,8080
36.67.57.45,30066
193.149.225.149,80
191.242.182.132,8081
192.109.165.37,80
177.223.58.68,54579
177.75.96.74,3128
103.73.74.217,2021
130.61.227.199,80
117.242.36.29,32501
203.202.245.58,80
192.109.165.61,80
193.149.225.87,80
168.119.202.71,8080
193.149.225.50,80
181.49.100.190,8080
157.90.4.42,8001
47.75.90.57,80
118.99.100.178,8080
142.93.214.51,80
192.109.165.47,80
193.149.225.83,80
193.149.225.6,80
36.90.146.88,8080
192.109.165.217,80
5.190.33.85,8080
86.246.25.233,80
193.149.225.166,80
194.213.43.166,60530
103.103.212.222,53281
117.196.233.118,47398
185.34.23.100,8080
78.11.85.10,8080
186.219.50.12,8080
115.124.115.26,80
95.46.145.75,8080
176.56.107.220,43930
165.73.128.209,56975
210.48.204.134,46669
58.176.147.14,80
191.101.39.220,80
172.105.197.49,80
51.81.21.221,3128
85.31.246.47,3128
193.149.225.169,80
192.109.165.164,80
193.149.225.219,80
193.149.225.42,80
209.97.150.167,8080
192.109.165.246,80
136.243.211.104,80
182.16.171.65,43188
183.88.219.206,41564
54.165.67.102,8080
114.7.27.98,8080
59.153.17.186,53281
167.172.184.166,38318
181.129.70.82,46752
103.240.161.108,6666
165.22.64.68,34961
206.189.86.178,80
187.45.106.164,3128
44.229.45.197,33128
193.149.225.142,80
14.97.2.105,80
106.51.252.227,80
203.207.52.206,8085
51.81.82.175,80
181.129.98.146,8080
163.172.52.122,3128
103.248.137.32,80
103.214.54.90,8080
104.248.48.239,31583
89.111.105.75,41258
125.27.251.206,50817
94.180.106.94,32767
160.19.232.85,3128
201.49.37.133,80
176.28.64.225,3128
95.137.240.30,60030
132.145.83.188,8081
103.90.230.5,3128
46.101.49.62,80
18.139.83.232,8086
103.247.22.82,3128
