title,link
Delhi's 6-Day Lockdown: See What's Allowed,https://news.google.com/articles/CAIiENeFLrEZ99sC8qzN2iywwOYqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
"New record rise in India’s COVID cases, deaths; curfew in capital",https://news.google.com/articles/CAIiEHgyWhfgxswutBnHZjtXkxQqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-IN&gl=IN&ceid=IN%3Aen
Prime Minister Modi responsible for second wave of Covid-19: Mamata,https://news.google.com/articles/CAIiEEOX3KiYGH0-XmBp-j_ZPuIqGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU?hl=en-IN&gl=IN&ceid=IN%3Aen
India's 'double mutation' covid virus variant is worrying the world,https://news.google.com/articles/CAIiEKb15G7ZCjZ6n02F8fsa5eUqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?hl=en-IN&gl=IN&ceid=IN%3Aen
"In reply to Manmohan Singh’s letter on vaccine strategy, Harsh Vardhan slams Congress",https://news.google.com/articles/CAIiEFL9Ey-apoaa_cNHovdIu4MqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Boris Johnson's India Visit Next Week Cancelled Due To COVID-19,https://news.google.com/articles/CAIiEF-nSgo8HBmYbuLAEfg-WfMqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
"In reply to Manmohan Singh’s letter on vaccine strategy, Harsh Vardhan slams Congress",https://news.google.com/articles/CAIiEFL9Ey-apoaa_cNHovdIu4MqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"New record rise in India’s COVID cases, deaths; curfew in capital",https://news.google.com/articles/CAIiEHgyWhfgxswutBnHZjtXkxQqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-IN&gl=IN&ceid=IN%3Aen
Delhi's 6-Day Lockdown: See What's Allowed,https://news.google.com/articles/CAIiENeFLrEZ99sC8qzN2iywwOYqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
Opposition joins calls for Boris Johnson to cancel India visit over new Covid variant,https://news.google.com/articles/CBMihgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvd29ybGQvb3Bwb3NpdGlvbi1qb2lucy1jYWxscy1mb3ItYm9yaXMtam9obnNvbi10by1jYW5jZWwtaW5kaWEtdmlzaXQtb3Zlci1uZXctY292aWQtdmFyaWFudC03Mjc5MTYzL9IBiwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvd29ybGQvb3Bwb3NpdGlvbi1qb2lucy1jYWxscy1mb3ItYm9yaXMtam9obnNvbi10by1jYW5jZWwtaW5kaWEtdmlzaXQtb3Zlci1uZXctY292aWQtdmFyaWFudC03Mjc5MTYzL2xpdGUv?hl=en-IN&gl=IN&ceid=IN%3Aen
US warns of consequences if jailed Kremlin critic Navalny dies,https://news.google.com/articles/CCAiC0ljTHozMDZWTVpzmAEB?hl=en-IN&gl=IN&ceid=IN%3Aen
‘In loving memory’: Queen Elizabeth II left handwritten note on Prince Philip’s coffin,https://news.google.com/articles/CAIiEDkiCX4U_qDWqh-FWMd6DB8qGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Pakistan Police And Rangers Taken Hostage In Anti-France Protests,https://news.google.com/articles/CAIiEDuHMkVhyxq8r09FhUCAGoEqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
‘Tried to get him help’: FedEx mass shooter’s family apologises to victims’ kin,https://news.google.com/articles/CAIiEJesoQNMYS7QskREX6418-YqFggEKg4IACoGCAoww7k_MMevCDDl2wE?hl=en-IN&gl=IN&ceid=IN%3Aen
