name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Lovely cottage to let with pool in Dordogne, AD007590,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007590/index.htm,Bedrooms 3, Sleeps 7,7,£550 to £1500 pw
Cottage for holiday let Marennes, PM003806,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003806/index.htm,Bedrooms 2, Sleeps 4,4,£546 to £1204 pw
Traditional stone barn to let in Trebons, MH003951,https://www.holidayfrancedirect.co.uk/holiday-rentals/MH003951/index.htm,Bedrooms 1, Sleeps 2,2,£500 pw
Honeysuckle holiday gite in Cotes d'Armor, BN003895_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003895_B/index.htm,Bedrooms 1, Sleeps 2,9.6/10,£345 to £365 pw
"Luxury farmhouse and pool to let, Normandy", NM006457,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006457/index.htm,Bedrooms 5, Sleeps 14,9.8/10,£850 to £3395 pw
Holiday gite with pool in the Loire Valley, VC004437,https://www.holidayfrancedirect.co.uk/holiday-rentals/VC004437/index.htm,Bedrooms 1, Sleeps 6,10/10,£310 to £450 pw
Holiday cottage rental in Brittany, BN000920_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN000920_C/index.htm,Bedrooms 5, Sleeps 13,9.8/10,£1300 to £2150 pw
La Pressoire holiday let near Baud Brittany, BM001973_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM001973_A/index.htm,Bedrooms 5, Sleeps 10,9.2/10,£1395 pw
Spacious cottage for rental in Brittany, BM003353,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003353/index.htm,Bedrooms 2, Sleeps 5,9.4/10,£325 to £625 pw
Large Gite & Shared Pool in Poitou Charentes, PS005209,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005209/index.htm,Bedrooms 3, Sleeps 8,8,£700 to £1050 pw
"Holiday gite for 2 in rural & pool, Normandy", NM005324,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005324/index.htm,Bedrooms 1, Sleeps 2,10/10,£350 to £475 pw
Pretty rural gite & pool to let in Normandy, NM006620,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006620/index.htm,Bedrooms 1, Sleeps 3,10/10,£350 to £495 pw
"Stunning sea view house to let, Brittany", BM007321,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007321/index.htm,Bedrooms 4, Sleeps 8,8,£830 to £1620 pw
"Gite with pool and fishing lake, Charente", PC005441,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005441/index.htm,Bedrooms 2, Sleeps 4,10/10,£1000 pw
Holiday gite in Brittany with private pool, BM007491,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007491/index.htm,Bedrooms 4, Sleeps 7,7,£1400 to £1800 pw
Barn for holiday rental in Midi Pyrenees, MH005192,https://www.holidayfrancedirect.co.uk/holiday-rentals/MH005192/index.htm,Bedrooms 1, Sleeps 2,9.5/10,£500 pw
Holiday let & pool Loire Valley, VI004218_D,https://www.holidayfrancedirect.co.uk/holiday-rentals/VI004218_D/index.htm,Bedrooms 2, Sleeps 3,3,£395 to £745 pw
"Delightful 2 bedroom gite, Charente Maritime", PM005589,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005589/index.htm,Bedrooms 2, Sleeps 5,8.8/10,£200 to £650 pw
Millhouse for holiday rentals near Falaise, NO001378_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO001378_A/index.htm,Bedrooms 6, Sleeps 10,10,£700 to £950 pw
Farmhouse holiday rental Charente, PC004053,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004053/index.htm,Bedrooms 3, Sleeps 6,9.4/10,£590 to £645 pw
"Gîte Rose, Gites du Parc, Vendee", LV002900_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV002900_C/index.htm,Bedrooms 2, Sleeps 4,9.7/10,€510 to €810 pw
"Lovely farmhouse to let in Mantilly, Orne", NO007695,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO007695/index.htm,Bedrooms 3, Sleeps 6,6,£640 pw
Holiday gite in rural Normandy Calvados, NC005901,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC005901/index.htm,Bedrooms 3, Sleeps 6,10/10,£770 pw
Rural Gite for 7 to let in Charente Maritime, PM007310,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007310/index.htm,Bedrooms 3, Sleeps 7,7,£695 to £1045 pw
Lovely farmhouse with a pool to let in Matha, PM007654,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007654/index.htm,Bedrooms 4, Sleeps 8,8,£1100 to £2000 pw
Holiday cottage with private pool in Brittany, BN007520,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007520/index.htm,Bedrooms 4, Sleeps 7,7,£500 to £800 pw
"House to let with private pool, Aquitaine", AP007188,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP007188/index.htm,Bedrooms 2, Sleeps 4,10/10,£650 to £1100 pw
Spacious holiday gite in rural Aquitaine, AP006896,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP006896/index.htm,Bedrooms 4, Sleeps 10,10,£644 to £1260 pw
"Tranquil countryside gite to let, Normandy", NM007665,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007665/index.htm,Bedrooms 1, Sleeps 2,2,£379 pw
Luxury holiday apartment in Lagrasse, RA006782,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA006782/index.htm,Bedrooms 2, Sleeps 5,5,£429 to £1233 pw
"Property to let, private heated pool, Loire V", VE004172,https://www.holidayfrancedirect.co.uk/holiday-rentals/VE004172/index.htm,Bedrooms 5, Sleeps 8,9.2/10,£1175 to £1540 pw
"Large gite to let in rural Normandy, Manche", NM005907,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005907/index.htm,Bedrooms 2, Sleeps 4,9.7/10,£360 pw
Unique holiday gite in the Dordogne, AD006178,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006178/index.htm,Bedrooms 3, Sleeps 6,6,£445 to £1080 pw
"House for holiday lets, St Fraigne Charente", PC002603,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC002603/index.htm,Bedrooms 3, Sleeps 7,9.3/10,£455 to £595 pw
The Farmhouse for holidays in Brittany, BN001361_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN001361_A/index.htm,Bedrooms 14, Sleeps 35,35,€1540 to €1715 pw
"Holiday rental, sandy beach 120m, Brittany", BM007364_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007364_C/index.htm,Bedrooms 7, Sleeps 16,16,£440 to £1380 pw
