title,duration,link,genre,description
The Tattoo Murders,,https://www.hotstar.com/in/tv/the-tattoo-murders/1260054967,"Crime, Thriller, Select Picks","Police officer Aditi must catch a serial killer with just one clue, a scorpion tattoo on the victims ..."
Nazar,,https://www.hotstar.com/in/tv/nazar/18293,"Thriller, StarPlus","Apurva lives under the constant threat of his sister, Mohini, a Daayan. Unaware that he is a Daavans ..."
Aarya,,https://www.hotstar.com/in/tv/aarya/1260028094,"Drama, Thriller, Hotstar Specials",Aarya Sareen's blissful family life is jeopardised when greed consumes her loved ones. With crime as ...
Divya-Drishti,,https://www.hotstar.com/in/tv/divyadrishti/1260003582,"Thriller, StarPlus","Separated at childhood, Divya and Drishti attain super powers to see and manipulate future. But thei ..."
Ragasiyam,1 hr 51 min,https://www.hotstar.com/in/movies/ragasiyam/1260040367,"Thriller, Tamil, 2018",Six different people struggle with problems of their own. The only thing they have in common is a ma ...
Hostages,,https://www.hotstar.com/in/tv/hostages/1260005113,"Thriller, Hotstar Specials","Reneging on the deal to kill the CM, Prithvi plans to smuggle him to Nepal but ends up in a hostage ..."
Bahut Hua Sammaan,2 hr 5 min,https://www.hotstar.com/in/movies/bahut-hua-sammaan/1260042584,"Comedy, Thriller, Hindi, 2020",Perpetually failing engineering students Bony and Fundoo get talked into robbing a bank by the campu ...
The Sniper,6 min,https://www.hotstar.com/in/movies/the-sniper/1260055902,"Thriller, Drama, Hindi, 2021","Caught between duty and humanity, a sniper and his spotter must overcome a moral dilemma. What will ..."
Detective,2 hr 26 min,https://www.hotstar.com/in/movies/detective/1100001807,"Thriller, Telugu, 2017",Detective Advaita Bhushan's life gets exciting when a dog's murder investigation leads him to a huge ...
Nojor,,https://www.hotstar.com/in/tv/nojor/1260003957,"Thriller, Star Jalsha","The Singha Roys may look like a normal family, but they are reeling under the evil sight of a supern ..."
Qayaamat Ki Raat,,https://www.hotstar.com/in/tv/qayaamat-ki-raat/18112,"Thriller, StarPlus",An intriguining story of love and reincarnation. Gauri and Raj reunite after 28 years only to come a ...
Paramapadham Vilayattu,2 hr 12 min,https://www.hotstar.com/in/movies/paramapadham-vilayattu/1260058191,"Thriller, Tamil, Malayalam, Telugu, 2021",A mother or a doctor - what will Gayathri choose to be when she's caught in a web of political consp ...
Sarvagun Sampanna,,https://www.hotstar.com/in/tv/sarvagun-sampanna/1260004606,"Thriller, StarPlus","Appearances can be deceptive and so is Janhvi, the perfect bahu of the Mittal household. Fuelled by ..."
Underwater,1 hr 34 min,https://www.hotstar.com/in/movies/underwater/1260039997,"Horror, Thriller, English, Hindi, 2020","The crew of the Kepler mining operation understood there would be hardships on their mission: but, a ..."
Kaal Bhairav Rahasya,,https://www.hotstar.com/in/tv/kaal-bhairav-rahasya/15520,"Thriller, Star Bharat",Heirs of Kanakgarh's Royal family don't survive beyond the age of 30. Will Veer and his lady love Ar ...
Ek Hasina Thi,,https://www.hotstar.com/in/tv/ek-hasina-thi/1470,"Thriller, StarPlus","Durga is out to avenge the crimes committed by Shaurya, a playboy and the scion of the powerful Goen ..."
Adhe Kangal,,https://www.hotstar.com/in/tv/adhe-kangal/1260000761,"Thriller, Star Vijay","When the evil eye of a supernatural entity falls on a perfectly happy family, their lives change for ..."
Varathan,2 hr 3 min,https://www.hotstar.com/in/movies/varathan/1000224211,"Thriller, Malayalam, 2018",Moving back to their ancestral home in Kerala from Dubai was not an easy choice for Abin and Priya. ...
Irada,1 hr 43 min,https://www.hotstar.com/in/movies/irada/1770016131,"Thriller, Hindi, 2017","A mysterious bomb blast occurs in one of the factories in Bhatinda. While investigating the matter, ..."
Hate Story 3,1 hr 53 min,https://www.hotstar.com/in/movies/hate-story-3/1000087393,"Thriller, Hindi, 2015","Climbing up the success ladder, Aditya, a businessman makes many enemies. Now, one of them is back t ..."
Drishyam,2 hr 36 min,https://www.hotstar.com/in/movies/drishyam/1000074189,"Thriller, Hindi, 2015",Story of a common family man who takes desperate measures to save his wife and two daughters when th ...
Glass,2 hr 9 min,https://www.hotstar.com/in/movies/glass/1260014718,"Thriller, English, Hindi, 2019","David Dunn pursues The Beast in a series of escalating encounters, but it is the shadowy presence of ..."
Mantra 2,1 hr 43 min,https://www.hotstar.com/in/movies/mantra-2/1100022770,"Thriller, Tamil, 2015","Having moved to a new city for a job, Mantra stays with an elderly couple as a paying guest. Things ..."
Dombivli Return,1 hr 54 min,https://www.hotstar.com/in/movies/dombivli-return/1260048191,"Thriller, Drama, Hindi, Marathi, 2019",An honest man from a humble background stumbles upon a photograph that can either be an opportunity ...
Best Friend,8 min,https://www.hotstar.com/in/movies/best-friend/1835048483,"Thriller, English, 2020",A dark comedy about a man whose about to kill his best friend for gaslighting him for years and slee ...
The Good Wife,17 min,https://www.hotstar.com/in/movies/the-good-wife/1835045497,"Thriller, Hindi, 2020","The story of the film is about how the life of a simple housewife changes on a single day in 1992, i ..."
Black Friday,2 hr 35 min,https://www.hotstar.com/in/movies/black-friday/1000067428,"Thriller, Hindi, 2007",The film traces the investigations following the serial blasts that rocked Bombay in 1993 via differ ...
Vikram Vedha,2 hr 10 min,https://www.hotstar.com/in/movies/vikram-vedha/1000216088,"Thriller, Hindi, 2017","Police officer Vikram finally captures Vedha, a dreaded gangster. When the latter engages Vikram in ..."
Gurgaon,1 hr 41 min,https://www.hotstar.com/in/movies/gurgaon/1000210312,"Thriller, Hindi, 2017","When the daughter of a real estate tycoon is kidnapped, her family desperately tries to track her wh ..."
Bhadram,1 hr 56 min,https://www.hotstar.com/in/movies/bhadram/1000100928,"Thriller, Telugu, 2014","A remake of the Tamil film Thegidi, Bhadram is a Telugu thriller. Fresh out of college, Venu (Ashok ..."
Mujrim Na Kehna,1 hr 56 min,https://www.hotstar.com/in/movies/mujrim-na-kehna/1260009477,"Thriller, Hindi, 2016","While on a road trip, a young couple meets with an accident, which leads them to uncover a dangerous ..."
The Stoneman Murders,1 hr 33 min,https://www.hotstar.com/in/movies/the-stoneman-murders/1000165608,"Thriller, Hindi, 2009","Based on real incidents, a serial killer on the loose is ruthlessly killing pavement dwellers on the ..."
SuperCops,,https://www.hotstar.com/in/tv/supercops/1260045414,"Thriller, Star Jalsha","How will a team of brave and honest cops fight deadly villains, mutants and monsters for the safety ..."
Ek Villain,2 hr 2 min,https://www.hotstar.com/in/movies/ek-villain/1000051662,"Thriller, Hindi, 2014","Guru, a goon, marries Aisha and decides to make a fresh start. However, their happiness is short liv ..."
Ugly,1 hr 51 min,https://www.hotstar.com/in/movies/ugly/1000224705,"Thriller, Hindi, 2014","When a 10-year-old girl goes missing, her stepfather races against time to investigate the kidnappin ..."
Black Water,1 hr 25 min,https://www.hotstar.com/in/movies/black-water/1000232180,"Thriller, Hindi, 2007",A fishing trip turns into a nightmare for three tourists when their guide is devoured by a crocodile ...
Kaabil,2 hr 14 min,https://www.hotstar.com/in/movies/kaabil/1770015483,"Thriller, Hindi, 2017","Rohan and Supriya, both are visually impaired. Their dream to live happily ever after goes awfully w ..."
Johnny Gaddaar,2 hr 15 min,https://www.hotstar.com/in/movies/johnny-gaddaar/1000065775,"Thriller, Hindi, 2007","A corrupt cop hatches a plan that can get his gang Rs. 5 crore. However, its mayhem all the way when ..."
Thoongaa Vanam,1 hr 59 min,https://www.hotstar.com/in/movies/thoongaa-vanam/1000090703,"Thriller, Tamil, 2015","Diwakar, an IRS officer in the Narcotics Control Bureau, finds his life falling apart when a powerfu ..."
Kaalabhairava Rahasyam,,https://www.hotstar.com/in/tv/kaalabhairava-rahasyam/18289,"Thriller, Star Maa","The show revolves around an ancient temple in Siddhpur, where anyone who stays in there post sunset ..."
NH 48,9 min,https://www.hotstar.com/in/movies/nh-48/1836053886,"Thriller, Hindi, 2021","A story about two strangers, who meet accidentally on a road only to reflect the harsh realities of ..."
Indu Sarkar,2 hr 8 min,https://www.hotstar.com/in/movies/indusarkar/1770017009,"Thriller, Hindi, 2017","Set during the Indian Emergency, a simple housewife's life changes when she ventures into an area wh ..."
Maatr,1 hr 42 min,https://www.hotstar.com/in/movies/maatr/1000204597,"Thriller, Hindi, 2017",A traumatised Vidya seeks revenge after her teenage daughter is gang-raped and murdered. She sets ou ...
Santrash,2 hr 17 min,https://www.hotstar.com/in/movies/santrash/1260050094,"Thriller, Bengali, 2003","Shubhankar is on a quest of a man, who can help him avenge the murder of his brother at the hands of ..."
Sanjeevani: Adventure on the edge,1 hr 22 min,https://www.hotstar.com/in/movies/sanjeevani-adventure-on-the-edge/1000236313,"Thriller, Hindi, 2018","A group of mountaineers set out to find the mythical plant, Sanjeevani. On their way, they see a hos ..."
Velaikkaran,2 hr 31 min,https://www.hotstar.com/in/movies/velaikkaran/1100002958,"Thriller, Tamil, 2017","Hailing from a slum, an enterprising young man wages a war against companies involved in food adulte ..."
Click,8 min,https://www.hotstar.com/in/movies/click/1836053500,"Thriller, Hindi, 2020",Pictures of a vacay ask you to peep in to get to see the unusual experience of the couple.
Paanch 5 Wrong,,https://www.hotstar.com/in/tv/paanch-5-wrong/14,"Thriller, Channel V","Roshni Kataria vows revenge against her sister's murderers, the famous 'Paanch'. On her vengeful que ..."
Rann,2 hr 11 min,https://www.hotstar.com/in/movies/rann/1770015983,"Thriller, Hindi, 2010","Vijay, the CEO of a struggling news channel, airs a fabricated news report to keep the business aflo ..."
Raavan,2 hr 10 min,https://www.hotstar.com/in/movies/raavan/1000065773,"Thriller, Hindi, 2010","In this modern-day take on Sita Haran, bandit Beera kidnaps the police superintendent's wife, Ragini ..."
Teddy,2 hr 15 min,https://www.hotstar.com/in/movies/teddy/1260055945,"Action, Thriller, Tamil, Malayalam, Telugu, 2021","When a loner crosses paths with a live teddy bear, the unusual duo sets off on an adventurous ride t ..."
Survivor,1 hr 32 min,https://www.hotstar.com/in/movies/survivor/1000194890,"Thriller, Hindi, 2015",A foreign service officer teams up with her colleague in order to prove her innocence while also try ...
Koi Laut Ke Aaya Hai,,https://www.hotstar.com/in/tv/koi-laut-ke-aaya-hai/13273,"Thriller, StarPlus","Newlyweds Gitanjali and Abhimanyu's joy is cut short due to a painful incident. Few years later, Git ..."
Kali,1 hr 50 min,https://www.hotstar.com/in/movies/kali/1000156926,"Thriller, Malayalam, 2016","Sidharth has anger-management issues. One scary night, his short temper just may land him and his wi ..."
Anishchit,13 min,https://www.hotstar.com/in/movies/anishchit/1836050502,"Thriller, Hindi, 2018",Anishchit is a story of a girl who cracks her interview in the most bizarre way with the help of a p ...
Taxi No. 9 2 11,1 hr 55 min,https://www.hotstar.com/in/movies/taxi-no-9-2-11/1000160652,"Thriller, Hindi, 2006",A taxi driver and a businessman cross paths only to cause chaos in their lives. With each being the ...
Thegidi,1 hr 55 min,https://www.hotstar.com/in/movies/thegidi/1000036213,"Thriller, Tamil, 2014",A criminology student lands his first job with a detective agency. Things take an ugly turn when his ...
Kee,1 hr 55 min,https://www.hotstar.com/in/movies/kee/1260012188,"Thriller, Science Fiction, Hindi, 2019","Siddharth, a leading hacker leads a happy life. However, things take a drastic turn when he becomes ..."
Laut Aao Trisha,,https://www.hotstar.com/in/tv/laut-aao-trisha/1403,"Thriller, Star Bharat","Trisha, the teen daughter of successful businessman Pratik Swaika disappears from a party. Follow th ..."
Antaryudh,1 hr 46 min,https://www.hotstar.com/in/movies/antaryudh/1000231026,"Thriller, Hindi, 2018","Lives of a motley group of people, who have nothing in common is bound by a fragile thread. Who are ..."
EK Shot,29 min,https://www.hotstar.com/in/movies/ek-shot/1808054156,"Thriller, Hindi, 2019",Manav a call center employee with failing marriage & money problems is trying everything for a bette ...
Nadunisi Naaygal,1 hr 45 min,https://www.hotstar.com/in/movies/nadunisi-naaygal/1000026689,"Thriller, Tamil, 2011","Sexually abused as a child, Veera turns into a serial rapist and murderer. Will things change when h ..."
Copy,40 min,https://www.hotstar.com/in/movies/copy/1000210998,"Thriller, Hindi, 2018",A man resorts to technology to find a balance between his marriage and an illicit affair. Trouble en ...
24 Ghante in Chennai,1 hr 29 min,https://www.hotstar.com/in/movies/24-ghante-in-chennai/1000231443,"Thriller, Hindi, 2013","The lives of a superstar, a doctor and a journalist are in the hands of a traffic police inspector a ..."
Catch 22,13 min,https://www.hotstar.com/in/movies/catch-22/1835050008,"Thriller, Hindi, 2020","A Widow, A Missing Girl, A Death. There's more to what meets the eye. The mystery unveils when the d ..."
Kalkattawali,,https://www.hotstar.com/in/tv/kalkattawali/14768,"Thriller, Star Jalsha","Abhaya is a dutiful daughter-in-law, a supportive wife and a loving mother. An ardent devotee of Dev ..."
Sarkar Raj,2 hr,https://www.hotstar.com/in/movies/sarkar-raj/1000160651,"Thriller, Hindi, 2008","When Subhash Nagre supports Anita’s proposal to build a power plant in a small village, little does ..."
Vada Chennai,2 hr 35 min,https://www.hotstar.com/in/movies/vada-chennai/1000225189,"Thriller, Tamil, 2018","A carrom player gets inadvertently entangled in a sprawling gang war between two mobsters, completel ..."
Mirchi Malini,43 min,https://www.hotstar.com/in/movies/mirchi-malini/1000210996,"Thriller, Hindi, 2018",Mirchi Malini predicts the future of a person by tasting the food cooked by them. Hell breaks loose ...
Yentavaadu Gaani,2 hr 29 min,https://www.hotstar.com/in/movies/yentavaadu-gaani/1000074497,"Thriller, Telugu, 2015",An undercover cop's life turns upside down when his daughter is kidnapped during a vital mission. Ho ...
A Phonecall,18 min,https://www.hotstar.com/in/movies/a-phonecall/1835044962,"Thriller, Hindi, 2020","A Mother gets random calls from strange numbers, but there is one such phonecall that creates a mix ..."
Memories,2 hr 18 min,https://www.hotstar.com/in/movies/memories/1000080775,"Thriller, Malayalam, 2013","Battling inner conflict, an alcoholic police officer reports to duty to investigate a series of deat ..."
Tezz,1 hr 56 min,https://www.hotstar.com/in/movies/tezz/1000192008,"Thriller, Hindi, 2012","Aakash plots a terrorist attack on a train in London. Arjun, an officer on the brink of retirement, ..."
Apaharan,2 hr 41 min,https://www.hotstar.com/in/movies/apaharan/1000105367,"Thriller, Hindi, 2005","Aspiring to become a cop, Ajay is ready to go to any lengths. But financial constraints compel him t ..."
Aaranya Kaandam,1 hr 54 min,https://www.hotstar.com/in/movies/aaranya-kaandam/1000026688,"Thriller, Tamil, 2011",Singaperumal and Gajendran are rival dons. They lock horns when two men run away with a stash of coc ...
Aksar,1 hr 33 min,https://www.hotstar.com/in/movies/aksar/1000212862,"Thriller, Hindi, 2006","Rajveer would do anything to get rid of his possessive wife. When divorce is not an option, he does ..."
Tell Tale Heart,15 min,https://www.hotstar.com/in/movies/tell-tale-heart/1260043604,"Thriller, English, 2018","A woman, an old man and a crime scene. An adaptation of Edgar Allan Poe's edge-of-the seat short sto ..."
The Dream,21 min,https://www.hotstar.com/in/movies/the-dream/1808049364,"Thriller, Hindi, 2018",Two people see the same dream despite no connection between them. Their quest to find the mystery of ...
Triyacharitra,14 min,https://www.hotstar.com/in/movies/triyacharitra/1000122828,"Thriller, Hindi, 2018","A boy and a girl meet on a blind date. What they discover about each other on that night, changes th ..."
Durgeshgorer Guptodhan,2 hr 5 min,https://www.hotstar.com/in/movies/durgeshgorer-guptodhan/1260009705,"Thriller, Bengali, 2019",Legends say that the ancestral mansion of Durgeshgor holds one of the greatest treasures of Bengal. ...
The Visit,10 min,https://www.hotstar.com/in/movies/the-visit/1837051490,"Thriller, Hindi, 2021","Alone, vulnerable and in pain, can a young woman take on an evil entity that's resentful of her?"
Yuddham Sei,2 hr 22 min,https://www.hotstar.com/in/movies/yuddham-sei/1000035414,"Thriller, Tamil, 2011","JK, a cop, gets pulled into an important case just as he decides to go on leave. Soon, he gets caugh ..."
Villain,2 hr 9 min,https://www.hotstar.com/in/movies/villain/1000055391,"Thriller, Telugu, 2010","Villain (2010) is a Telugu epic drama directed by Mani Ratnam. Starring Vikram, Aishwarya Rai, and P ..."
