title,company,location,salary,summary
Firmware Engineer,Rax-Tech International,"Medavakkam, Chennai, Tamil Nadu","₹18,000 - ₹35,000 a month","Need to have good knowledge in the following Programming Languages embedded C, C++,python.
Required to have experience in working with Windows and Linux…"
Part time - Robotics / Electronics / Arduino Trainer,Young-Scientist.in,"Chennai, Tamil Nadu",,"We are looking for part time trainers to take Robotic, Electronics and Arduio workshops and summer courses.
2.Taking science workshop sessions."
PCB Design Engineer,OughtRight,"Electronic City, Bengaluru, Karnataka",,"Sensors. A Bachelor's degree in electronics engineering or related degree is required.
Design, prototype, develop new ideas/concepts."
Embedded BareMetal,SpanIdea,"Bengaluru, Karnataka",,"Design, develop, test and maintain embedded software (bare-metal/RTOS/Linux).
Proficient in Embedded C/C++.
Proficient in communication protocols (like SPI/I2C…"
Embedded Software & Firmware Developer,Incredible Devices Pvt. Ltd.,"Noida, Uttar Pradesh","₹1,99,695 - ₹8,07,745 a year","The top candidate will also have the ability to communicate their technical ideas in a clear manner, both visually and verbally.
Total work: 1 year (Required)."
Embedded Software Engineer,Intellexus Systems pvt ltd,"Pune, Maharashtra","₹8,000 - ₹12,000 a month","Prototype and verify systems for various embedded applications.
Develop and maintain firmware for embedded platforms.
Sound knowledge of Embedded C, C++,."
Junior Engineer,IPCS Automation,"Anna Nagar West, Tamil Nadu","₹10,000 - ₹12,000 a month",IPCS Automation - India's Leading Automation and Embedded Training providers looking for Junior Embedded Engineer for Chennai Branch.*.
Senior iOS Developer,Code My Mobile,"Jaipur, Rajasthan",,"Senior iOS Developers are experts at developing apps for iOS, are intimately familiar with Apple's Human Interface Guidelines, and stay current on changes to…"
Electronics Systems – Intern,i2n Technologies,"Bengaluru, Karnataka",,"Building Hardware Products and Systems.
Electronics Systems Internship includes to explore and learn about electronics systems and hardware product."
Technical Writer - Robotics,MathWorks,"Hyderabad, Telangana",,We are looking for individuals to develop content that shows creative ways to design and deploy algorithms to robotics platforms and deep learning systems.
Embedded Developer (IoT),Intellexus Systems pvt ltd,"Pune, Maharashtra","₹6,000 - ₹12,000 a month","Prototype and verify systems for various embedded applications.
Develop and maintain firmware for embedded platforms.
Sound knowledge of Embedded C, C++,."
