title,company,location,salary,summary
Python Developer,HCL Technologies,,,"We are looking to hire proficient talent in areas of network engineering, product testing, software engineering (Java Full Stack, ."
Business Analyst (BE/ B-tech 1-2 Yrs),CommerceIQ,,"₹15,00,000 - ₹18,00,000 a year","CommerceIQ is a well-funded, Series B growth stage start-up that helps consumer brands grow their business on e-commerce channels (like Amazon, Walmart) using…"
Software Engineer (Freshers / Entry Level only),LOTUS PUBLIC SCHOOL,"Faridabad, Haryana","₹18,000 - ₹28,000 a month","3 ) Traning will be provided on java j2ee python and selenium-related technologies.
1 ) Engineer (Fresher/ Entry Level) Pune | Full Time We are looking for…"
Python Developer,DESSS Applying Technology,"Chennai, Tamil Nadu","₹20,000 - ₹60,000 a month","Able to work with SQL and NoSQL.
Experience in creating & consuming REST APIs.
Should be comfortable in using Postman, Filezilla."
Python Internship,AnywhereWorks,"Chennai, Tamil Nadu",,"Knowledge in the basics of C, basics of python and any frameworks would be an added advantage.
Possess good interpersonal skills and communication skills."
Python Developer,Rank Technologies LLC,Remote,"₹2,40,000 - ₹3,60,000 a year","Proficiency in one of the Language -PYTHON With essential SQL/No-SQL exposure .
Should be aware of Async Python , Logging , mongodb - nosql Queries , REST ."
Python Developer Intern,Ahaguru Education,"Chennai, Tamil Nadu","₹10,000 - ₹15,000 a year","Proficient in Python/R or C/C++.
Degree is from CS, EEE OR ECE Departments.
We need interns for 3 months which can be extended to 6 months based on the…"
Python Developer,Green knitt,"Chennai, Tamil Nadu","₹3,25,000 - ₹4,50,000 a year",The candidate should have good communication skill.
C++ Developer,"Zoho Corporation Pvt. Ltd., Chennai","Guduvancheri, Tamil Nadu","₹21,229 - ₹25,946 a month","Certification: for sport relay,kho kho etc..,.
Job Types: Full-time, Fresher."
Python Developer,iNFOX Technologies,"Kochi, Kerala","₹10,000 a month","Develop back-end components to improve responsiveness and overall performance.
Integrate user-facing elements into applications.
Job Types: Full-time, Fresher."
Python Developer (Remote),Turbolab Technologies Private Limited,"Ernakulam, Kerala","₹1,80,000 - ₹3,00,000 a year","Our team includes a diverse range of technical backgrounds and areas of subject expertise and is responsible for the aggregation, transformation, analysis and…"
Backend Developer [Python Developer],ParallelDots Technology Pvt Ltd,Remote,"₹6,00,000 - ₹8,00,000 a year","Good python, shell programming and software design skills, including debugging, performance analysis and test design.
Experience with SQL/NoSQL databases."
Splunk and Python Developers for Murex Trade Surveillance,Luxoft,"Bengaluru, Karnataka",,"Role Description: Techno-functional Splunk developer with Financial Markets domain knowledge.
Strong development experience in Splunk."
QA Intern,Springworks,Remote,"₹21,000 a month",We are looking for a Quality Assurance Intern to develop and execute exploratory tests as well as functional tests in order to ensure product quality.
Python Developer,Make Visions,"Bengaluru, Karnataka","₹20,105 - ₹90,693 a month","Some knowledge and experience with Data frames in python & Good knowledge on regional implementation.
Good at Python programming Knowledge of Docker and bash/…"
Python/Django Developer,Tech4LYF Entrepreneurs,"Chennai, Tamil Nadu","₹5,000 - ₹8,000 a month","Who can work with basic libraries and frameworks like django and flask.
Job Types: Full-time, Part-time, Internship, Walk-In."
Python Developer,WebPariwar Solutions,"Bengaluru, Karnataka","₹15,00,000 a year",Total work: 3 years (Preferred).
Python Developer (Fresher) Walk In Drive 05April-09 April,Wangoes Teconologies Private Limited,Remote,"₹15,000 - ₹17,000 a month",We are looking for Python developer to join our engineering team and help us create dynamic software applications for our clients.
Python Developer,digiquint solutions,"Bengaluru, Karnataka","₹10,00,000 - ₹20,00,000 a year","Python developer: 5 years (Required).
5 to 7 years of experience in Python or related projects.
Must be able to communicate and take requirements from client."
Python/Django Developer,Euphoric Thought Technologies Pvt Ltd,"Bengaluru, Karnataka","₹3,76,987 - ₹14,86,027 a year","Candidate must have 2 years of experience.
Expertise in Python framework like Django, Flask.
Experience & good understanding of JavaScript, HTML, CSS."
Python Developer,Suvizion Infotech,"Bengaluru, Karnataka","₹2,40,000 - ₹4,80,000 a year","Understanding of multithreading and multiprocessing.
Experience working with libraries like Numpy, Pandas, etc.
A knack for writing clean, readable Python code."
