title,wordpress url,author,author url,date published
Mozilla partners with NVIDIA to democratize and diversify voice technology,https://blog.mozilla.org/blog/2021/04/12/mozilla-partners-with-nvidia-to-democratize-and-diversify-voice-technology/,Mozilla,https://blog.mozilla.org/blog/author/mozilla/,2021-04-12 10:00:09-07:00
Reflections on One Year as the CEO of Mozilla,https://blog.mozilla.org/blog/2021/04/08/reflections-on-one-year-as-the-ceo-of-mozilla/,Mitchell Baker,https://blog.mozilla.org/blog/author/mitchellmozillacom/,2021-04-08 10:35:26-07:00
Software Innovation Prevails in Landmark Supreme Court Ruling in Google v. Oracle,https://blog.mozilla.org/blog/2021/04/05/software-innovation-prevails-in-landmark-supreme-court-ruling-in-google-v-oracle/,Daniel Nazer,https://blog.mozilla.org/blog/author/dnazermozilla-com/,2021-04-05 12:20:07-07:00
Latest Mozilla VPN features keep your data safe,https://blog.mozilla.org/blog/2021/03/30/latest-mozilla-vpn-features-keep-your-data-safe/,Mozilla,https://blog.mozilla.org/blog/author/mozilla/,2021-03-30 08:49:10-07:00
Reinstating net neutrality in the US,https://blog.mozilla.org/blog/2021/03/19/reinstating-net-neutrality-in-the-us/,Amy Keating,https://blog.mozilla.org/blog/author/akeatingmozilla-com/,2021-03-19 02:55:27-07:00
Notes on Addressing Supply Chain Vulnerabilities,https://blog.mozilla.org/blog/2021/02/27/notes-on-addressing-supply-chain-vulnerabilities/,Eric Rescorla,https://blog.mozilla.org/blog/author/ekrmozilla-com/,2021-02-27 14:41:11-08:00
Latest Firefox release includes Multiple Picture-in-Picture and Total Cookie Protection,https://blog.mozilla.org/blog/2021/02/23/latest-firefox-release-includes-multiple-picture-in-picture-and-total-cookie-protection/,Selena Deckelmann,https://blog.mozilla.org/blog/author/sdeckelmannmozilla-com/,2021-02-23 06:02:18-08:00
Expanding Mozilla’s Boards,https://blog.mozilla.org/blog/2021/02/18/expanding-mozillas-boards/,Mitchell Baker,https://blog.mozilla.org/blog/author/mitchellmozillacom/,2021-02-18 09:41:48-08:00
Why I’m Joining Mozilla’s Board of Directors,https://blog.mozilla.org/blog/2021/02/18/why-im-joining-mozillas-board-of-directors-2/,Laura Chambers,https://blog.mozilla.org/blog/author/lchamberswillowpump-com/,2021-02-18 09:37:24-08:00
Why I’m Joining Mozilla’s Board of Directors,https://blog.mozilla.org/blog/2021/02/18/why-im-joining-mozillas-board-of-directors/,Wambui Kinya,https://blog.mozilla.org/blog/author/wamboyeegmail-com/,2021-02-18 06:46:14-08:00
"Next steps on trustworthy AI: transparency, bias and better data governance",https://blog.mozilla.org/blog/2021/02/10/next-steps-on-trustworthy-ai-transparency-bias-and-better-data-governance/,Mark Surman,https://blog.mozilla.org/blog/author/markmozillafoundation-org/,2021-02-10 08:09:09-08:00
Mozilla Welcomes the Rust Foundation,https://blog.mozilla.org/blog/2021/02/08/mozilla-welcomes-the-rust-foundation/,Daniel Nazer,https://blog.mozilla.org/blog/author/dnazermozilla-com/,2021-02-08 09:07:46-08:00
