,name,short_description,website,phone,map_link,address,features,rating,reviews
0,Grace 40,Cafes and Coffee Shops,https://www.facebook.com/Grace-40-513267219079094,07786 367880 ,/biz/grace-40-bromley-9271964/#view=map,"We serve London|Bromley,BR1","Specialist Coffee Shops, Lunches, Sandwiches, Breakfasts, Hot Food, Takeaway Food",5.0,3 Ratings
1,Angelique Coffee Ltd,Coffee Machines and Supplies,/customerneeds/sendenquiry/sendtoone/100040791310000020?searchedLocation=London,020 7157 9515 ,/biz/angelique-coffee-ltd-london-10077027/#view=map,"Kemp House, 152-160, City Rd, London, EC1V 2NX","Traditional Espresso Machine, Rental From £2.50 Per Day, Bean To Cup Specialist, Coffe Machines For Offices, Vending Machine Sales / Lease, Organic & Fairtrade Coffee",5.0,2 Ratings
2,Familydeli,Food and Drink - Delivered,/customerneeds/sendenquiry/sendtoone/100040795548000040?searchedLocation=London,01733 209678 ,,We serve London,"Family To Family, Fast Delivery, Organic Food & Beverages, Gluten Free Vegan & Vegetarian, Lowest Prices Online, Award Winning Food & Drink",5.0,1 Rating
3,Pistachios in the Park - Red Lion Cafe,Cafes and Coffee Shops,/customerneeds/sendenquiry/sendtoone/100040802333000020?searchedLocation=London,020 3116 0024 ,/biz/pistachios-in-the-park-red-lion-cafe-london-10157372/#view=map,"Red Lion Square Gardens, London, WC1R 4QH","Burgers, Hot Dogs & Barbecue, Coffee,Soft Drinks & Hot Drink, Chilean Food, Jacket Potatoes & Sandwiches, Outdoor & Indoor Seating, Free Wi Fi Available",,
4,St Anna,Cafes and Coffee Shops,https://www.facebook.com/st.anna.chelsea/,020 7751 5893 ,/biz/st-anna-london-9076429/#view=map,"453 Fulham Rd, London, SW10 9UZ","Independent Coffee Shop, Artisan Coffee, Locally Roasted, Paninis, Pastries, Sandwiches, Art On Display For Sale, Friendly Efficient Service",5.0,1 Rating
5,BlueBox.,Cafes and Coffee Shops,/customerneeds/sendenquiry/sendtoone/100040664411000040?searchedLocation=London,020 3675 5173 ,/biz/bluebox-london-9741228/#view=map,"1386 High Rd, London, N20 9BH","Healthy Food Options, Low Carb, Refined Sugar Free, Gluten Free, Vegan, Freshly Home Made Food, Childrens Play Area, Order Online For Collection",,
6,Algerian Coffee Stores Ltd,Tea and Coffee Specialist Shops,http://www.algcoffee.co.uk,020 7437 2480 ,/biz/algerian-coffee-stores-ltd-london-508535/#view=map,"52 Old Compton St, London, W1D 4PB",,4.8,4 Ratings
7,Maison Bertaux Ltd,Cafes and Coffee Shops,http://www.maisonbertaux.com,020 7437 6007 ,/biz/maison-bertaux-ltd-london-306850/#view=map,"28 Greek St, London, W1D 5DQ",,4.6,12 Ratings
8,Canela Covent Garden Ltd,Cafes and Coffee Shops,http://www.canelacafe.com,020 7240 6926 ,/biz/canela-covent-garden-ltd-london-3622449/#view=map,"33 Earlham St, London, WC2H 9LS",,4.1,14 Ratings
9,Monmouth Coffee Co.Ltd,Cafes and Coffee Shops,http://www.monmouthcoffee.co.uk,020 7232 3010 ,/biz/monmouth-coffee-co-ltd-london-2479519/#view=map,"27 Monmouth St, London, WC2H 9DD",,4.5,18 Ratings
